,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
827,"frozenset([2, 6])","frozenset([1, 11, 5])",0.07525325615050651,0.3589001447178003,0.07091172214182344,0.9423076923076922,2.625542803970223,0.04390331761892095,11.112397491558104
828,"frozenset([11, 5])","frozenset([1, 2, 6])",0.3589001447178003,0.07525325615050651,0.07091172214182344,0.1975806451612903,2.625542803970223,0.04390331761892095,1.1524482033903234
829,"frozenset([11, 6])","frozenset([1, 2, 5])",0.07670043415340087,0.36324167872648333,0.07091172214182344,0.9245283018867924,2.5452153649552733,0.04305092768089201,8.437047756874085
830,"frozenset([5, 6])","frozenset([1, 2, 11])",0.07091172214182344,0.3921852387843705,0.07091172214182344,1.0,2.5498154981549814,0.04310119146102148,inf
831,frozenset([1]),"frozenset([2, 11, 5, 6])",0.4341534008683068,0.07091172214182344,0.07091172214182344,0.16333333333333333,2.3033333333333337,0.04012515681252238,1.1104640771213266
832,frozenset([2]),"frozenset([1, 11, 5, 6])",0.47901591895803186,0.07091172214182344,0.07091172214182344,0.14803625377643503,2.0876132930513593,0.03694387839516127,1.0905256027342427
833,frozenset([11]),"frozenset([1, 2, 5, 6])",0.40520984081041966,0.07091172214182344,0.07091172214182344,0.175,2.467857142857143,0.04217759450114245,1.1261676095250626
834,frozenset([5]),"frozenset([1, 2, 11, 6])",0.48191027496382055,0.07525325615050651,0.07091172214182344,0.14714714714714713,1.955359205359205,0.03464640477841002,1.0842981186685963
835,frozenset([6]),"frozenset([1, 2, 11, 5])",0.08104196816208394,0.3545586107091172,0.07091172214182344,0.8749999999999999,2.4678571428571425,0.042177594501142446,5.163531114327058
836,"frozenset([1, 2, 11, 5])",frozenset([7]),0.3545586107091172,0.39363241678726485,0.2778581765557164,0.7836734693877552,1.9908763505402163,0.13829241372955156,2.803019960134342
837,"frozenset([1, 2, 11, 7])",frozenset([5]),0.30101302460202606,0.48191027496382055,0.2778581765557164,0.9230769230769231,1.9154539154539156,0.1327969071020627,6.735166425470338
838,"frozenset([1, 2, 5, 7])",frozenset([11]),0.2821997105643994,0.40520984081041966,0.2778581765557164,0.9846153846153848,2.4298901098901102,0.16350807676116957,38.66136034732314
